label,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,0,0,0,0,0,0,0,0,0,0,0,0,78,108,0,0,0,0,0,0,0,0,253,109,255,253,0,0,0,0,0,0,215,0,0,42,252,25,0,0,0,0,252,0,0,0,27,252,0,0,0,0,120,252,0,252,154,252,0,0,0,0,0,94,253,252,153,252,0,0,0,0,0,0,0,237,252,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,253,251,253,28,0,0,0,0,254,253,0,57,254,253,0,0,0,0,253,0,0,0,253,251,0,0,0,0,254,253,0,0,254,253,0,0,0,0,0,251,253,83,253,251,0,0,0,0,0,0,254,253,254,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,121,0,0,0,0,0,0,0,57,231,213,75,0,0,0,0,0,0,201,0,0,253,0,0,0,0,0,0,202,0,0,39,0,0,0,0,0,0,229,0,0,0,80,0,0,0,0,0,54,253,0,109,0,0,0,0,0,0,0,26,254,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,252,253,185,0,0,0,0,0,26,252,0,0,218,92,0,0,0,0,47,252,0,0,0,252,0,0,0,0,0,252,0,0,17,252,0,0,0,0,0,127,253,0,253,9,0,0,0,0,0,0,203,253,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,131,234,122,0,0,0,0,0,0,203,22,0,11,252,0,0,0,0,0,0,252,0,0,17,75,0,0,0,0,0,43,252,0,0,252,0,0,0,0,0,0,81,242,0,57,0,0,0,0,0,0,0,49,252,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,255,254,197,0,0,0,0,0,0,64,0,0,0,43,254,0,0,0,0,253,0,0,0,0,0,160,0,0,0,214,0,0,0,0,0,103,0,0,0,0,254,169,0,155,187,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,168,251,250,0,0,0,0,0,0,180,57,0,2,254,0,0,0,0,0,2,254,0,0,0,207,0,0,0,0,0,209,189,0,0,241,0,0,0,0,0,0,254,173,7,58,0,0,0,0,0,0,0,254,254,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,253,253,171,0,0,0,0,0,0,253,0,0,121,253,20,0,0,0,0,221,131,0,0,36,253,0,0,0,0,0,253,0,0,0,253,0,0,0,0,0,40,253,73,186,253,0,0,0,0,0,0,5,131,228,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,229,242,55,0,0,0,0,0,0,254,0,0,245,0,0,0,0,0,0,254,0,0,0,120,0,0,0,0,0,254,0,0,0,219,0,0,0,0,0,166,124,0,0,20,0,0,0,0,0,0,131,109,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,252,252,253,69,0,0,0,0,0,248,0,0,0,248,252,2,0,0,0,252,0,0,0,0,9,252,0,0,0,194,116,0,0,0,0,179,0,0,0,0,253,184,231,157,253,0,0,0,0,0,0,252,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,34,253,68,0,0,0,0,0,0,0,226,0,183,253,2,0,0,0,0,0,44,154,0,4,253,0,0,0,0,0,0,253,0,0,0,253,0,0,0,0,0,253,49,0,0,223,8,0,0,0,0,32,253,0,0,87,114,0,0,0,0,0,20,72,253,253,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,227,0,253,84,0,0,0,0,0,85,185,0,0,244,58,0,0,0,0,0,252,0,0,0,252,0,0,0,0,0,252,0,0,0,173,0,0,0,0,0,15,197,0,0,193,0,0,0,0,0,0,243,204,252,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,253,253,135,0,0,0,0,0,0,253,0,0,180,0,0,0,0,0,0,233,45,0,29,104,0,0,0,0,0,28,253,0,0,104,0,0,0,0,0,0,225,81,42,104,0,0,0,0,0,0,0,253,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,79,49,240,0,0,0,0,0,0,155,0,0,31,39,0,0,0,0,0,155,0,0,0,243,0,0,0,0,0,237,253,40,0,253,0,0,0,0,0,121,205,0,0,246,0,0,0,0,0,0,169,60,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,128,64,0,0,0,0,255,0,0,0,0,255,0,0,0,0,255,0,0,0,0,0,0,0,0,0,191,0,0,0,0,255,0,0,0,0,0,191,0,0,128,64,0,0,0,0,0,0,255,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,253,253,205,0,0,0,0,0,0,29,124,0,253,244,0,0,0,0,0,0,253,0,0,240,215,0,0,0,0,0,175,144,68,0,253,0,0,0,0,0,0,253,0,0,253,0,0,0,0,0,0,35,253,253,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,253,253,75,0,0,0,0,0,0,253,63,187,253,253,0,0,0,0,0,146,253,0,0,253,253,0,0,0,0,0,253,253,0,0,253,0,0,0,0,0,0,253,129,0,253,0,0,0,0,0,0,0,253,253,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,254,254,75,0,0,0,0,0,0,254,0,0,254,61,0,0,0,0,0,254,0,0,0,254,0,0,0,0,0,254,0,0,0,254,0,0,0,0,0,118,241,241,254,140,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,249,221,0,0,0,0,0,0,0,254,0,65,161,0,0,0,0,0,0,254,0,0,254,0,0,0,0,0,0,9,242,0,254,0,0,0,0,0,0,0,254,0,237,0,0,0,0,0,0,0,0,254,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,217,64,252,68,0,0,0,0,0,152,0,0,0,0,252,0,0,0,0,214,0,0,0,0,128,0,0,0,0,181,53,0,0,0,252,0,0,0,0,0,175,226,0,218,214,0,0,0,0,0,0,0,190,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,253,96,0,0,0,0,0,0,136,41,0,139,253,0,0,0,0,0,253,0,0,0,30,148,0,0,0,0,107,24,0,0,0,253,0,0,0,0,0,253,0,0,0,230,0,0,0,0,0,20,247,230,120,250,0,0,0,0,0,0,3,225,253,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,253,251,35,0,0,0,0,0,0,251,0,0,251,251,10,0,0,0,0,251,211,0,0,0,251,0,0,0,0,16,253,82,0,0,251,0,0,0,0,0,21,253,180,0,253,0,0,0,0,0,0,231,251,251,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,106,40,0,0,0,0,0,0,0,198,0,9,25,0,0,0,0,0,0,247,0,0,207,0,0,0,0,0,0,0,236,0,174,0,0,0,0,0,0,0,13,106,251,0,0,0,0,0,0,0,0,51,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,253,255,253,213,0,0,0,0,250,253,0,0,0,253,25,0,0,0,253,0,0,0,0,253,0,0,0,0,242,214,0,0,0,253,0,0,0,0,0,253,234,201,253,108,0,0,0,0,0,253,253,254,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,186,85,31,0,0,0,0,0,48,5,0,0,254,0,0,0,0,0,93,0,0,0,169,0,0,0,0,0,50,9,0,90,0,0,0,0,0,0,254,221,247,86,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,253,249,253,227,0,0,0,0,0,253,0,0,0,0,226,2,0,0,0,253,0,0,0,0,0,198,0,0,0,45,253,8,0,0,53,44,0,0,0,0,4,245,253,0,243,0,0,0,0,0,0,221,253,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,254,254,254,0,0,0,0,0,137,235,0,0,33,254,0,0,0,0,137,223,0,0,0,254,0,0,0,0,0,254,0,0,0,254,0,0,0,0,0,254,0,0,254,0,0,0,0,0,0,3,254,254,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,254,254,254,8,0,0,0,0,125,254,0,0,48,254,0,0,0,0,0,254,0,0,0,254,0,0,0,0,0,254,0,0,152,229,0,0,0,0,0,254,254,0,254,0,0,0,0,0,0,117,254,254,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,113,63,0,0,0,0,0,0,0,18,0,241,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,250,0,18,0,0,0,0,0,0,0,202,38,18,0,0,0,0,0,0,0,0,254,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,0,0,0,0,0,255,64,0,0,0,255,0,0,0,0,255,0,0,0,0,128,128,0,0,0,128,0,0,0,0,255,0,0,0,0,0,255,0,0,0,255,0,0,0,0,0,128,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,253,253,253,0,0,0,0,0,0,219,147,0,8,253,0,0,0,0,0,26,253,0,0,253,0,0,0,0,0,0,37,253,130,253,0,0,0,0,20,0,0,0,212,253,0,0,0,0,0,0,0,0,253,138,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,252,252,0,0,0,0,0,0,0,253,0,22,252,0,0,0,0,0,0,253,139,0,234,0,0,0,0,0,0,0,252,0,157,0,0,0,0,0,0,0,108,249,251,0,0,0,0,0,0,0,0,228,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,217,190,237,124,0,0,0,0,252,6,0,0,0,252,0,0,0,217,7,0,0,0,0,253,0,0,0,252,0,0,0,0,130,4,0,0,0,252,45,199,42,217,53,0,0,0,0,100,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,255,128,64,191,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,191,0,0,0,64,0,0,0,0,0,128,255,0,0,255,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,40,0,0,0,0,0,0,0,255,31,254,172,0,0,0,0,0,0,253,0,0,223,0,0,0,0,0,0,254,92,0,102,0,0,0,0,0,0,253,0,0,0,102,0,0,0,0,0,254,203,0,142,0,0,0,0,0,0,0,252,253,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,251,0,0,0,0,0,0,0,71,251,251,253,27,0,94,0,0,0,251,0,0,223,251,0,94,0,0,0,253,0,0,0,234,221,95,0,0,0,112,251,251,0,221,251,0,0,0,0,0,251,251,253,251,220,0,0,0,0,0,0,251,214,251,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,253,253,15,0,0,0,0,0,0,227,0,0,223,181,0,0,0,0,0,253,26,0,0,188,84,0,0,0,0,0,248,154,0,0,253,0,0,0,0,0,0,119,253,236,243,0,0,0,0,0,0,0,0,180,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,253,240,0,0,0,0,0,0,0,253,0,253,106,0,0,0,0,0,0,253,0,107,253,0,0,0,0,0,0,153,143,0,253,0,0,0,0,0,0,0,253,14,253,0,0,0,0,0,0,0,20,253,0,0,0,0,0,0,0,0,0,166,13,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,203,163,0,0,0,0,0,0,0,24,178,15,162,0,0,0,0,0,0,163,253,35,0,253,0,0,0,0,0,2,253,253,34,0,253,0,0,0,0,0,0,44,253,172,17,253,0,0,0,0,0,0,0,89,200,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
